T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
44,Bahamas,2005,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2010,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2015,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2018,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2019,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2020,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,1995,Net imports [Imports - Exports - Bunkers] (petajoules),24,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2000,Net imports [Imports - Exports - Bunkers] (petajoules),28,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2005,Net imports [Imports - Exports - Bunkers] (petajoules),28,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2010,Net imports [Imports - Exports - Bunkers] (petajoules),29,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2015,Net imports [Imports - Exports - Bunkers] (petajoules),25,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2018,Net imports [Imports - Exports - Bunkers] (petajoules),37,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2019,Net imports [Imports - Exports - Bunkers] (petajoules),37,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2020,Net imports [Imports - Exports - Bunkers] (petajoules),27,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,1995,Changes in stocks (petajoules),-1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2000,Changes in stocks (petajoules),-1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2010,Changes in stocks (petajoules),-4,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2015,Changes in stocks (petajoules),-8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2018,Changes in stocks (petajoules),2,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2019,Changes in stocks (petajoules),1,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2020,Changes in stocks (petajoules),-4,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,1995,Total supply (petajoules),26,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2000,Total supply (petajoules),28,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2005,Total supply (petajoules),28,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2010,Total supply (petajoules),32,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2015,Total supply (petajoules),32,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2018,Total supply (petajoules),35,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2019,Total supply (petajoules),35,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2020,Total supply (petajoules),31,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,1995,Supply per capita (gigajoules),85,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2000,Supply per capita (gigajoules),87,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2005,Supply per capita (gigajoules),79,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2010,Supply per capita (gigajoules),87,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2015,Supply per capita (gigajoules),83,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2018,Supply per capita (gigajoules),87,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2019,Supply per capita (gigajoules),87,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
44,Bahamas,2020,Supply per capita (gigajoules),77,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,1995,Primary energy production (petajoules),644,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2000,Primary energy production (petajoules),706,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2005,Primary energy production (petajoules),672,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2010,Primary energy production (petajoules),849,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2015,Primary energy production (petajoules),957,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2018,Primary energy production (petajoules),946,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2019,Primary energy production (petajoules),"1,047",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2020,Primary energy production (petajoules),"1,045",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-397,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-382,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-353,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-339,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-383,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2018,Net imports [Imports - Exports - Bunkers] (petajoules),-371,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2019,Net imports [Imports - Exports - Bunkers] (petajoules),-392,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2020,Net imports [Imports - Exports - Bunkers] (petajoules),-403,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,1995,Changes in stocks (petajoules),-10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2000,Changes in stocks (petajoules),-12,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2005,Changes in stocks (petajoules),-28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2010,Changes in stocks (petajoules),-3,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2015,Changes in stocks (petajoules),-4,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2018,Changes in stocks (petajoules),-7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2019,Changes in stocks (petajoules),-16,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2020,Changes in stocks (petajoules),-24,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,1995,Total supply (petajoules),257,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2000,Total supply (petajoules),337,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2005,Total supply (petajoules),348,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2010,Total supply (petajoules),513,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2015,Total supply (petajoules),577,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2018,Total supply (petajoules),582,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2019,Total supply (petajoules),672,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,2020,Total supply (petajoules),667,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
48,Bahrain,1995,Supply per capita (gigajoules),420,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
